,Brand,Product_Name,Price,Category
85,Theory,Noah Dot-Print Seersucker Shorts,$195,Shorts
86,Theory,Reverse Terry Drawstring Sweatshorts,$165,Shorts
87,Orlebar Brown,Harton Slub Linen Shorts,$245,Shorts
88,A-COLD-WALL*,Logo Tech-Twill Drawstring Shorts,$290,Shorts
89,Givenchy,Reflective-Detailed Cotton French Terry Shorts,$695,Shorts
90,adidas Originals by Alexander Wang,Photocopy Drawstring Shorts,$150,Shorts
91,Heron Preston,Logo Mesh Basketball Shorts,$380,Shorts
92,Heron Preston,Cotton French Terry Shorts,$340,Shorts
93,FiveSeventyFive,Velour Drawstring Shorts,$165,Shorts
94,Off-White c/o Virgil Abloh,Lake Mesh Shorts,$390,Shorts
95,Aztech Mountain,Sunny Side Elastic-Inset Twill Shorts,$395,Shorts
96,HECHO,Textured Silk-Linen Shorts,$345,Shorts
97,Officine Générale,Phil Worsted Wool Drawstring Shorts,$295,Shorts
98,Saturdays NYC,Keigo Striped Shorts,$150,Shorts
99,Off-White c/o Virgil Abloh,Mesh Shorts,$355,Shorts
100,AMIRI,Fleece Track Sweatshorts,$550,Shorts
101,James Perse,Y/osemite Jersey Drawstring Shorts,$125,Shorts
102,Givenchy,Logo-Embroidered Cotton Shorts,$845,Shorts
103,Vetements,Cotton-Blend Inside-Out Drop-Rise Shorts,$690,Shorts
104,Craig Green,Layered Cotton Drop-Rise Shorts,$690,Shorts
105,Wu Wear,Embroidered Cotton-Blend Velour Track Shorts,$98,Shorts
106,Wu Wear,Logo Tech-Faille Shorts,$98,Shorts
107,James Perse,Washed Cotton Poplin Surplus Shorts,$99,Shorts
108,Theory,Evan Striped Oxford Cloth Shorts,$175,Shorts
109,Gucci,Logo Tech-Twill Shorts,$850,Shorts
110,Barneys New York,Camouflage Linen-Cotton Shorts,$250,Shorts
111,Rick Owens DRKSHDW,Pod Cotton Fleece Drop-Rise Shorts,$615,Shorts
112,LOEWE,Trapunto-Stitched-Belt Leather Shorts,$890,Shorts
113,Rick Owens,Pod Leather Cargo Shorts,"$2,155",Shorts
