,Brand,Product_Name,Price,Category
130,Botto Giuseppe,Mélange Cashmere Gauze Scarf,$485,Scarves
131,Barneys New York,Rabbit Fur Pull-Through Scarf,$275,Scarves
132,Barneys New York,Rabbit Fur Pull-Through Scarf,$275,Scarves
133,Barneys New York,Rabbit Fur Pull-Through Scarf,$275,Scarves
134,Barneys New York,Caruso Cashmere Scarf,$495,Scarves
135,Cesare Gatti,Cardo Cashmere Scarf,$425,Scarves
136,Cesare Gatti,Cardo Cashmere Scarf,$425,Scarves
137,Cesare Gatti,Fringed Cashmere Scarf,$425,Scarves
138,Barneys New York,Colorblocked Cashmere Scarf,$385,Scarves
139,Barneys New York,Striped Cashmere Scarf,$495,Scarves
140,Barneys New York,Herringbone Cashmere Scarf,$395,Scarves
141,The Elder Statesman,Patchwork-Effect Cashmere Scarf,$750,Scarves
142,Barneys New York,Fox-Fur Scarf,"$1,195",Scarves
143,Barneys New York,Striped Fox-Fur Scarf,"$1,375",Scarves
144,Barneys New York,Leopard-Print Rabbit Fur Bandana,$395,Scarves
145,Barneys New York,Mongolian Fur Scarf,$675,Scarves
146,Barneys New York,Mongolian Fur Scarf,$675,Scarves
147,LILLY e VIOLETTA,Fox-Fur Pull-Through Scarf,"$1,750",Scarves
148,Barneys New York,Leopard-Print Fur Scarf,$395,Scarves
149,LILLY e VIOLETTA,Colorblocked Mink Pull-Through Scarf,"$3,650",Scarves
150,LILLY e VIOLETTA,Fox-Fur Cowl Scarf,"$1,075",Scarves
151,From The Road,Asama Tonal-Striped Cashmere-Merino Wool Scarf,$725,Scarves
152,Botto Giuseppe,Cashmere Infinity Scarf,$295,Scarves
153,Destin,Buddy Wool-Blend Scarf,$295,Scarves
154,LILLY e VIOLETTA,Leopard-Print Pull-Through Mink Scarf,"$2,195",Scarves
155,Destin,Buddy Wool-Blend Scarf,$265,Scarves
156,Destin,Buddy Wool-Blend Scarf,$265,Scarves
157,Paco Rabanne,Metal Mesh Large Scarf,$510,Scarves
158,Barneys New York,Colorblocked Cashmere-Blend Scarf,$495,Scarves
159,From The Road,Sevana Scarf,$595,Scarves
160,From The Road,Sevana Scarf,$595,Scarves
161,Barneys New York,Cashmere Scarf,$525,Scarves
162,Barneys New York,Double-Sided Cashmere Scarf,$625,Scarves
163,Barneys New York,Mink Fur Bandana,$895,Scarves
164,Barneys New York,Mink Fur Bandana,$895,Scarves
165,LILLY e VIOLETTA,Fox Fur Cowl Scarf,$695,Scarves
166,Barneys New York,Crystal-Embellished Cashmere Gauze Scarf,$650,Scarves
167,Barneys New York,Sequin-Embellished Cashmere Gauze Scarf,$695,Scarves
168,Barneys New York,Wool-Blend Fur-Trimmed Cape,"$1,695",Scarves
169,Botto Giuseppe,Cashmere Gauze Scarf,$485,Scarves
170,Barneys New York,Open-Knit Stole,$550,Scarves
171,Barneys New York,Bordered Oversize Scarf,$550,Scarves
172,Barneys New York,Rib-Knit Cashmere-Silk Scarf,$495,Scarves
173,Barneys New York,Rib-Knit Cashmere-Silk Scarf,$495,Scarves
174,Barneys New York,Oversized Cashmere-Silk Scarf,$550,Scarves
175,Barneys New York,Knitted-Mink Pull-Through Scarf,$595,Scarves
